lat,lon,num_of_peoples,p_low,p_med,p_high
59.924902,30.307801,105,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.92465,30.307828,35,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.92396,30.307801,250,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.923527,30.307792,21,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.923225,30.307756,46,0.11436950146627566,0.5483870967741935,0.33724340175953077
59.935074,30.300794,27,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.935088,30.2996,32,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.934731,30.299689,43,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.934691,30.298423,54,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.934587,30.29792,56,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.934317,30.297174,8,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.934344,30.298387,30,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.934218,30.296761,83,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.934263,30.298063,86,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.934082,30.296276,131,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.933848,30.29562,30,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.933753,30.295306,59,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.933663,30.294928,59,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.932135,30.290796,137,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.933523,30.29447,5,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931368,30.291039,70,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.933352,30.293958,97,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931932,30.290086,51,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.933158,30.293374,5,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931792,30.289691,48,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931657,30.289278,54,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.932847,30.292323,5,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.932414,30.290715,89,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931256,30.287769,113,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.932297,30.290266,48,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.93043,30.288047,115,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931062,30.287086,48,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.932058,30.289476,48,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.930972,30.286799,91,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931999,30.289224,46,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.930908,30.286538,46,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931873,30.288874,67,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.93053,30.286637,81,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931751,30.288353,67,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.930701,30.285891,102,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.930097,30.286062,105,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.93154,30.287679,30,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931427,30.287221,62,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931341,30.286897,38,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931044,30.286053,64,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.930656,30.284643,105,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.930548,30.284238,110,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.927554,30.295108,64,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.927473,30.296159,5,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.926959,30.29562,193,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.924997,30.298378,32,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.924424,30.298854,94,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.924181,30.298189,11,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.936034,30.310245,56,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.935881,30.310478,126,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.93561,30.310864,72,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.926368,30.306903,32,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.926463,30.306157,89,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.927116,30.305322,78,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.926598,30.304873,51,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.927337,30.303678,51,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.927346,30.303211,105,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.926747,30.30304,43,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.92731,30.302178,40,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.92672,30.302573,64,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.927265,30.301657,177,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.925304,30.302178,54,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.926197,30.299788,70,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.924104,30.304316,83,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.925872,30.299932,43,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.925304,30.300462,177,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.92511,30.300821,48,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.924749,30.300678,140,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.924663,30.301621,72,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.924515,30.301908,59,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.923743,30.303247,266,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.921998,30.300678,46,0.21104536489151873,0.2583826429980276,0.5305719921104537
59.921656,30.299079,21,0.21104536489151873,0.2583826429980276,0.5305719921104537
59.929069,30.30772,91,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.928947,30.307226,46,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.929033,30.306238,72,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.92883,30.306723,81,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.928897,30.3056,54,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.928726,30.306175,48,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.928631,30.304585,56,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.928622,30.305789,75,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.928505,30.303983,86,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.928573,30.305493,56,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.92832,30.303184,126,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.928293,30.304451,148,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.928149,30.30242,81,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.92819,30.303983,134,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.92796,30.30163,115,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.928095,30.303543,123,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.927815,30.300956,97,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.927824,30.302366,172,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.927319,30.300076,166,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.92713,30.299294,99,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.927053,30.298845,81,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.933492,30.304477,43,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.929227,30.311718,306,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.929078,30.311125,78,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.9291,30.310227,126,0.16216216216216217,0.3081081081081081,0.5297297297297298
